country_name,iso3,fsi_2011_value,fsi_2013_value,fsi_2015_value,fsi_2018_value,fsi_2020_value,fsi_2022_value,fsi_2025_share,fsi_2025_value,fsi_2011_rank,fsi_2013_rank,fsi_2015_rank,fsi_2018_rank,fsi_2020_rank,fsi_2022_rank,fsi_2025_rank,fsi_2011_score,fsi_2013_score,fsi_2015_score,fsi_2018_score,fsi_2020_score,fsi_2022_score,fsi_2025_score
Aruba,ABW,124.9300921,113.3252,99.5278,148.0466,76.65347324,159.364604258608,0.00327513157448057440,116.7300153898933100,48,55,57,68,112,75,90.0000000000000000,74.2,70.6,67.71,75.975,73.275,70.925,67.3420172413793100
Angola,AGO,,,,,345.4517203,335.726662488047,0.00766329134116304500,273.1298257332055600,,,,,35,33,46.0000000000000000,,,,,79.725,79.45,75.1559999999999900
Anguilla,AIA,36.04731967,96.76443,89.38037,195.0371,192.9863302,199.868287614495,0.00233308665177083160,83.1542900105795900,66,61,63,56,62,58,103.0000000000000000,79.27,76.47,69.24,77.5,78.2,75.45,78.3780689655172400
Albania,ALB,,,,,,46.9009190392295,0.00138243601831948360,49.2718457332723300,,,,,,123,123.0000000000000000,,,,,,54.45,52.5586206896551700
Andorra,AND,133.6207578,43.37763,27.32231,35.05223,38.8370971,80.0128885228656,0.00241302371760572700,86.0033526246854500,46,74,87,105,123,114,99.0000000000000000,73.27,76.27,76.6,66.05,58.325,54.95,54.4486379310344900
Netherlands Antilles,ANT,129.3691558,,,,,,,,47,,,,,,,83.31,,,,,,
United Arab Emirates,ARE,439.5830274,419.0078,440.7632,661.1468,605.1966719,648.452012449766,0.01732172320902279600,617.3690951910476000,18,16,10,9,10,8,13.0000000000000000,79.07,79,77.44,83.85,77.925,79.225,78.8697068965517200
Argentina,ARG,,,,,109.3707018,82.2489146996438,0.00230176753592158900,82.0380353527313000,,,,,94,111,104.0000000000000000,,,,,54.975,49.125,50.5537586206896560
American Samoa,ASM,,,,,,30.0633560836334,0.00021490688752405065,7.6595653388536240,,,,,,135,139.0000000000000000,,,,,,69.3,69.0660000000000000
Antigua and Barbuda,ATG,88.46715871,60.47441,79.55601,54.5297,39.04950099,44.726376927443,0.00034608033601672456,12.3347603083026360,59,67,65,98,122,127,138.0000000000000000,81.53,80,80.96,86.875,76.075,76.975,80.3580862068965400
Australia,AUS,,168.1538,148.0734,244.3583,238.0740006,318.068723355769,0.01024473622761846300,365.1359312808560000,,44,44,44,48,37,29.0000000000000000,,47.4,43.47,51.15,50.0875,56.15,59.4926034482758600
Austria,AUT,453.4871247,400.8232,295.3141,310.4127,317.0012908,270.185906860013,0.00902859509309298700,321.7910548625840000,17,18,24,35,36,44,35.0000000000000000,65.87,63.73,53.71,55.9,56.5,54.625,59.6679999999999900
Belgium,BEL,467.1602626,199.2665,181.2279,212.9652,236.2087478,358.925657432149,0.01022506857721684000,364.4349502418183400,15,40,38,53,50,26,30.0000000000000000,59.13,45.07,40.89,44,45.05,52.525,53.3784999999999950
Bangladesh,BGD,,,,,228.7907315,232.42749691377,0.00732084065570094900,260.9244309650244400,,,,,54,52,50.0000000000000000,,,,,72.725,74.625,74.1054999999999900
Bulgaria,BGR,,,,91.38212,57.52600889,89.5195970426802,0.00225978822366867560,80.5418372141521200,,,,89,115,106,105.0000000000000000,,,,54.175,49.45,52.775,50.4505000000000000
Bahrain,BHR,660.3148226,461.1659,471.3962,490.7067,137.9927224,191.054723230585,0.00652653588209251000,232.6143596475740200,10,13,9,17,81,60,55.0000000000000000,77.8,72.3,73.67,77.8,62.4,68.2,69.0205689655172400
Bahamas,BHS,431.110463,226.8748,273.0835,429.0041,407.2798157,385.443037120639,0.01019371456427500800,363.3174518054951000,19,35,25,19,22,22,32.0000000000000000,82.87,79.93,79.02,84.5,75.375,75.475,75.3884310344827500
Belize,BLZ,198.3999755,129.8344,92.46147,86.29995,78.07163009,76.3965466696601,0.00221436753964508600,78.9229840400063100,41,52,60,90,110,115,108.0000000000000000,90.23,80.4,78.86,75.175,73.925,75.1,67.5347586206896400
Bermuda,BMU,539.8775265,432.3802,217.7114,281.8268,289.0693612,244.634676127082,0.00670719849387956300,239.0534137663770500,12,14,34,36,40,49,54.0000000000000000,85.33,79.87,66.27,73.05,72.725,70.125,71.3437068965517200
Bolivia,BOL,,,,94.82185,114.7429415,87.2225547873925,0.00351367314259955040,125.2319519638685100,,,,88,91,109,88.0000000000000000,,,,80.35,79.1,79.25,76.9149999999999900
Brazil,BRA,,283.9142,263.6772,137.9975,157.2123276,135.344597078661,0.00401705648594975700,143.1731992328747000,,29,26,73,73,83,80.0000000000000000,,52.4,51.84,49,51.675,49.15,49.9965000000000000
Barbados,BRB,266.5653179,317.4745,298.3258,230.953,192.8631042,176.944742731616,0.00863969862293005800,307.9302709780789700,31,26,22,48,63,63,37.0000000000000000,78.87,81,78.29,73.85,74,73.725,73.1577931034482800
Brunei,BRN,45.79904958,50.63406,47.41675,85.59808,34.61833041,28.3367424360271,0.00086883615554496360,30.9664682171262450,64,73,80,91,125,136,132.0000000000000000,84.13,84.13,82.78,84.05,78.3,73.3,71.5401206896551800
Botswana,BWA,121.2662673,98.99626,90.55827,39.44938,58.3732222,80.3532278185222,0.00103102623168658460,36.7471367654125900,50,60,62,103,113,113,131.0000000000000000,78.53,73.33,71.38,68.725,62.2445,56.8,55.9085000000000040
Canada,CAN,366.1569807,418.5234,251.7512,425.8399,438.3763735,348.703010135141,0.01420733048489543500,506.3680247454379400,24,17,29,21,19,28,18.0000000000000000,56.27,53.6,45.84,54.75,55.8375,51.15,58.0825000000000000
Switzerland,CHE,1879.215803,1765.25,1466.132,1589.574,1402.104341,1167.06805877781,0.03921579455461468000,1397.7027175200033000,1,1,1,1,3,2,2.0000000000000000,78.2,78.4,72.6,76.45,74.05,70.05,74.8669999999999900
Chile,CHL,,,166.6763,168.6416,135.1246845,161.135874986073,0.00604721495235089900,215.5307285832831200,,,42,60,82,73,59.0000000000000000,,,53.92,61.6,55.7875,59.775,65.7731551724138000
China,CHN,,,312.1978,372.5777,397.2478134,577.680381278876,0.01738264859448512000,619.5405564044128000,,,20,28,25,11,12.0000000000000000,,,54.29,60.075,59.85,66.45,69.7389655172413800
Cameroon,CMR,,,,,229.2318944,139.847121712536,0.00278159946337070040,99.1398790502872000,,,,,53,81,94.0000000000000000,,,,,71.475,70.25,64.6434999999999900
Cook Islands,COK,13.39634467,25.26854,17.80766,44.97323,12.08968373,38.9829277017679,0.000104641237222751710000,3.7295519137628874,71,78,91,100,133,131,140.0000000000000000,75.27,76.87,75.92,74.575,70.3,69.75,71.6020689655172500
Colombia,COL,,,,,92.25450441,88.2030750488736,0.00275841790102351500,98.3136575480326400,,,,,102,108,95.0000000000000000,,,,,56.475,54.325,54.3335000000000000
Costa Rica,CRI,177.2174434,157.6024,74.91603,168.778,132.2436273,91.2461682063749,0.00440898160142438900,157.1419280367839500,42,46,67,59,83,105,72.0000000000000000,76.6,71.27,54.58,68.65,62.325,55.8,64.1335000000000000
